Jahr,KW,Datum,SKU,POS_ID,Warengruppe,Preis,EK,VK_UVP,Verkäufe,Lagerbestand,Deckungsbeitrag,RW,Kalenderwoche,Monat,Saison
2024,1,2024-01-01,TSHIRT001,POS001,T-Shirts,23.66,12.57,23.89,4,13,44.36,2.6,39,September,Herbst
2024,1,2024-01-01,TSHIRT002,POS001,T-Shirts,25.42,18.36,35.37,12,31,84.72,2.38,29,July,Winter
2024,1,2024-01-01,TSHIRT003,POS001,T-Shirts,21.02,15.94,27.91,0,33,0.0,33.0,15,April,Frühjahr
2024,1,2024-01-01,TSHIRT004,POS001,T-Shirts,19.15,13.24,22.28,2,11,11.82,3.67,43,October,Winter
2024,1,2024-01-01,TSHIRT005,POS001,T-Shirts,18.87,13.6,25.47,10,49,52.7,4.45,8,February,Winter
2024,1,2024-01-01,TSHIRT006,POS001,T-Shirts,18.55,16.41,25.1,20,33,42.8,1.57,21,May,Winter
2024,1,2024-01-01,TSHIRT007,POS001,T-Shirts,22.93,14.41,25.43,2,33,17.04,11.0,39,September,Herbst
2024,1,2024-01-01,TSHIRT008,POS001,T-Shirts,12.89,10.43,17.92,0,39,0.0,39.0,19,May,Winter
2024,1,2024-01-01,TSHIRT009,POS001,T-Shirts,25.39,19.0,33.91,10,24,63.9,2.18,23,June,Winter
2024,1,2024-01-01,TSHIRT010,POS001,T-Shirts,24.16,17.75,32.45,9,48,57.69,4.8,11,March,Winter
2024,1,2024-01-01,TSHIRT011,POS001,T-Shirts,23.86,14.3,27.26,22,40,210.32,1.74,11,March,Winter
2024,1,2024-01-01,TSHIRT012,POS001,T-Shirts,21.13,12.74,22.68,11,14,92.29,1.17,24,June,Winter
2024,1,2024-01-01,TSHIRT013,POS001,T-Shirts,18.77,14.08,21.32,12,25,56.28,1.92,36,September,Herbst
2024,1,2024-01-01,TSHIRT014,POS001,T-Shirts,19.25,14.47,22.67,13,17,62.14,1.21,40,September,Herbst
2024,1,2024-01-01,TSHIRT015,POS001,T-Shirts,18.81,12.35,23.82,16,56,103.36,3.29,24,June,Winter
2024,1,2024-01-01,TSHIRT016,POS001,T-Shirts,16.98,10.93,19.85,17,56,102.85,3.11,3,January,Winter
2024,1,2024-01-01,TSHIRT017,POS001,T-Shirts,35.95,18.74,37.43,0,3,0.0,3.0,22,May,Winter
2024,1,2024-01-01,TSHIRT018,POS001,T-Shirts,23.62,18.0,28.73,15,55,84.3,3.44,2,January,Winter
2024,1,2024-01-01,TSHIRT019,POS001,T-Shirts,17.94,13.48,24.25,19,52,84.74,2.6,24,June,Winter
