Artikelnummer,Warengruppe,Kalenderwoche,Saison,RW,Verkäufe,Preis,Lagerbestand
A0001,Jackets,1,Winter,2.8623268623096183,12,115.52,429
A0001,Jackets,2,Winter,8.70177279590848,12,37.41,240
A0001,Jackets,3,Winter,15.342481739239656,19,91.53,41
A0001,Jackets,4,Winter,4.310852807754891,5,63.15,493
A0001,Jackets,5,Winter,13.557632104561296,12,82.26,103
A0001,Jackets,6,Winter,3.897018808003528,10,59.54,447
A0001,Jackets,7,Winter,4.434631592908613,7,85.15,151
A0001,Jackets,8,Winter,6.9015941630749476,10,59.19,206
A0001,Jackets,9,Frühling,3.2432183531527787,10,124.63,283
A0001,Jackets,10,Frühling,4.16754242697278,6,91.57,251
A0001,Jackets,11,Frühling,7.633438648304332,6,80.53,345
A0001,Jackets,12,Frühling,9.49521689807652,15,108.78,162
A0001,Jackets,13,Frühling,4.9761255927626316,12,70.84,369
A0001,Jackets,14,Frühling,2.0152377435204087,10,57.31,176
A0001,Jackets,15,Frühling,15.272171218487284,12,100.2,233
A0001,Jackets,16,Frühling,5.996831895043231,10,107.41,364
A0001,Jackets,17,Frühling,12.853332740340473,7,126.5,81
A0001,Jackets,18,Frühling,14.372321975820887,5,106.99,273
A0001,Jackets,19,Frühling,19.707493687719886,14,40.3,466
A0001,Jackets,20,Frühling,14.964477069000093,13,38.57,197
A0001,Jackets,21,Frühling,2.1991473153209045,12,30.48,181
A0001,Jackets,22,Sommer,10.007586754260611,10,99.96,70
A0001,Jackets,23,Sommer,12.858873963789591,10,127.23,246
A0001,Jackets,24,Sommer,6.215005132807528,11,69.1,203
A0001,Jackets,25,Sommer,3.022069787259162,4,51.14,113
A0001,Jackets,26,Sommer,12.828171941063582,8,116.22,189
A0001,Jackets,27,Sommer,14.153809885858943,9,71.83,359
A0001,Jackets,28,Sommer,19.06484803292415,13,119.54,12
A0001,Jackets,29,Sommer,6.979038713547109,11,114.4,279
A0001,Jackets,30,Sommer,12.056059946402739,12,60.0,271
A0001,Jackets,31,Sommer,15.265457576098122,4,112.71,66
A0001,Jackets,32,Sommer,15.512247201792835,7,93.52,371
A0001,Jackets,33,Sommer,9.83683876454186,8,128.01,460
A0001,Jackets,34,Sommer,15.412731226743908,7,88.66,232
A0001,Jackets,35,Sommer,19.414311160047163,8,67.84,190
A0001,Jackets,36,Herbst,18.88214393880716,19,100.94,433
A0001,Jackets,37,Herbst,11.85990435982806,8,116.41,62
A0001,Jackets,38,Herbst,2.2499006033035176,12,118.86,165
A0001,Jackets,39,Herbst,19.44108370240954,9,83.95,88
A0001,Jackets,40,Herbst,14.233856232713451,7,127.32,283
A0001,Jackets,41,Herbst,19.176384091566153,7,27.93,272
A0001,Jackets,42,Herbst,12.20531810992672,18,75.67,260
A0001,Jackets,43,Herbst,6.817688107939679,10,88.75,189
A0001,Jackets,44,Herbst,11.269323743221195,16,59.63,473
A0001,Jackets,45,Herbst,15.239454169398584,13,49.46,13
A0001,Jackets,46,Herbst,7.225869586243382,16,76.75,217
A0001,Jackets,47,Herbst,4.926772141692479,11,105.8,316
A0001,Jackets,48,Herbst,13.9817847085321,8,55.15,309
A0001,Jackets,49,Winter,11.134579637397428,9,89.82,243
A0001,Jackets,50,Winter,12.833249827739216,9,97.22,51
A0001,Jackets,51,Winter,10.249222874461765,10,92.79,475
A0001,Jackets,52,Winter,15.565565700676311,7,99.21,498
A0001,Jackets,53,Winter,14.147084263007365,9,87.22,93
A0002,Sweatshirts,1,Winter,15.947925448201612,7,29.21,197
A0002,Sweatshirts,2,Winter,11.808130517484182,8,28.13,12
A0002,Sweatshirts,3,Winter,16.284376021713264,13,72.91,197
A0002,Sweatshirts,4,Winter,15.796611616162075,7,84.11,14
A0002,Sweatshirts,5,Winter,14.631846330525317,8,65.98,69
A0002,Sweatshirts,6,Winter,18.360634229430186,13,36.49,46
A0002,Sweatshirts,7,Winter,9.694685913254695,14,114.82,258
A0002,Sweatshirts,8,Winter,17.801197426968013,9,63.91,205
A0002,Sweatshirts,9,Frühling,8.118057855389042,8,64.66,309
A0002,Sweatshirts,10,Frühling,12.129533632043378,12,23.68,127
A0002,Sweatshirts,11,Frühling,5.152656425648905,11,56.84,429
A0002,Sweatshirts,12,Frühling,16.29304718209933,5,37.26,350
A0002,Sweatshirts,13,Frühling,17.081209683861633,7,113.38,444
A0002,Sweatshirts,14,Frühling,3.88966868161315,5,115.88,498
A0002,Sweatshirts,15,Frühling,4.860627639099998,6,49.92,161
A0002,Sweatshirts,16,Frühling,19.163988869368232,10,76.89,218
A0002,Sweatshirts,17,Frühling,10.772024701173077,10,91.74,392
A0002,Sweatshirts,18,Frühling,19.43032003990502,13,55.04,258
A0002,Sweatshirts,19,Frühling,14.106869844468248,13,74.31,321
A0002,Sweatshirts,20,Frühling,7.331096538641393,10,37.65,436
A0002,Sweatshirts,21,Frühling,16.531447393038558,3,83.75,441
A0002,Sweatshirts,22,Sommer,11.802806915708334,14,58.83,131
A0002,Sweatshirts,23,Sommer,8.51301613347341,9,62.82,73
A0002,Sweatshirts,24,Sommer,18.39135738213352,8,79.89,247
A0002,Sweatshirts,25,Sommer,18.874225178499383,12,76.24,369
A0002,Sweatshirts,26,Sommer,9.96408808913132,13,84.24,410
A0002,Sweatshirts,27,Sommer,5.081912764993043,5,53.56,94
A0002,Sweatshirts,28,Sommer,6.416807202905501,7,92.81,237
A0002,Sweatshirts,29,Sommer,15.37574887607744,8,88.23,277
A0002,Sweatshirts,30,Sommer,3.7358875162688383,12,41.79,180
A0002,Sweatshirts,31,Sommer,5.593625268720767,5,54.48,83
A0002,Sweatshirts,32,Sommer,9.716299444831277,10,46.9,251
A0002,Sweatshirts,33,Sommer,2.839045899873013,6,44.7,25
A0002,Sweatshirts,34,Sommer,5.781383324254624,9,106.43,142
A0002,Sweatshirts,35,Sommer,12.628282634570795,6,108.99,167
A0002,Sweatshirts,36,Herbst,17.60907019257257,8,65.33,350
A0002,Sweatshirts,37,Herbst,2.185209944727358,6,35.17,35
A0002,Sweatshirts,38,Herbst,2.530127919416848,14,91.95,268
A0002,Sweatshirts,39,Herbst,19.120602582230173,9,67.91,131
A0002,Sweatshirts,40,Herbst,4.042997314548252,3,95.34,78
A0002,Sweatshirts,41,Herbst,18.344001287011295,17,107.62,114
A0002,Sweatshirts,42,Herbst,11.542941118026153,9,128.82,110
A0002,Sweatshirts,43,Herbst,9.320599513839683,10,31.34,359
A0002,Sweatshirts,44,Herbst,9.44761816269747,11,37.22,397
A0002,Sweatshirts,45,Herbst,10.630708358503208,13,99.54,251
A0002,Sweatshirts,46,Herbst,10.53359758620127,7,106.1,101
A0002,Sweatshirts,47,Herbst,12.617316753855942,10,113.72,221
A0002,Sweatshirts,48,Herbst,16.78135064611179,13,115.78,269
A0002,Sweatshirts,49,Winter,3.1531372057806446,10,106.72,151
A0002,Sweatshirts,50,Winter,2.3067126295204723,11,105.11,101
A0002,Sweatshirts,51,Winter,17.75565893917012,7,93.16,31
A0002,Sweatshirts,52,Winter,11.12351451133145,7,27.35,215
A0002,Sweatshirts,53,Winter,16.786827215215677,8,98.95,332
A0003,Denim Pants,1,Winter,13.939938984191805,7,35.39,89
A0003,Denim Pants,2,Winter,12.83068687612878,15,43.3,411
A0003,Denim Pants,3,Winter,18.095958899628258,13,96.43,447
A0003,Denim Pants,4,Winter,4.57664686156735,10,77.86,390
A0003,Denim Pants,5,Winter,3.5869247512315825,11,45.77,98
A0003,Denim Pants,6,Winter,19.44262522354508,11,60.38,41
A0003,Denim Pants,7,Winter,3.976788352817664,9,95.88,214
A0003,Denim Pants,8,Winter,17.788047261384072,4,67.64,97
A0003,Denim Pants,9,Frühling,8.325239484422962,4,35.56,397
A0003,Denim Pants,10,Frühling,18.994952748970576,13,43.25,416
A0003,Denim Pants,11,Frühling,5.592879992680384,14,94.12,347
A0003,Denim Pants,12,Frühling,19.537763421619616,7,20.88,494
A0003,Denim Pants,13,Frühling,18.635200263668565,14,57.32,416
